Running tracks
LGS3 chr22 17177645
LGS3 chr3 17717298
LGS3 chr4 18118319
LGS3 chr5 18584081
LGS3 chr6 19049244
LGS3 chr7 19505817
LGS3 chr8 19873707
LGS3 chr9 20292320
LGS3 chrX 20491363
LVG1 chr1 759766
LVG1 chr10 1137417
LVG1 chr11 1581753
LVG1 chr12 1958743
LVG1 chr13 2138058
LVG1 chr14 2407690
LVG1 chr15 2656812
LVG1 chr16 2958795
LVG1 chr17 3399144
LVG1 chr18 3560536
LVG1 chr19 3956197
LVG1 chr2 4532003
LVG1 chr20 4741199
LVG1 chr21 4827974
LVG1 chr22 5006013
LVG1 chr3 5467960
LVG1 chr4 5820375
LVG1 chr5 6216112
LVG1 chr6 6633741
LVG1 chr7 7006017
LVG1 chr8 7309261
LVG1 chr9 7661419
LVG1 chrX 7798165
LVG1 chr1 8627280
LVG1 chr10 9040338
LVG1 chr11 9529324
LVG1 chr12 9940662
LVG1 chr13 10133121
LVG1 chr14 10423644
LVG1 chr15 10691762
LVG1 chr16 11028278
LVG1 chr17 11517083
LVG1 chr18 11691750
LVG1 chr19 12138701
LVG1 chr2 12767176
LVG1 chr20 12996098
LVG1 chr21 13090158
LVG1 chr22 13287157
LVG1 chr3 13786718
LVG1 chr4 14165329
LVG1 chr5 14589515
LVG1 chr6 15044049
LVG1 chr7 15449067
LVG1 chr8 15777454
LVG1 chr9 16168249
LVG1 chrX 16317594
{
  "status": "PASS",
  "donors": {
    "LGS1": {
      "fragments": 19737292,
      "insertions": 39474584,
      "bigwig": "data/intermediate/training/LGS1.insertions.bw"
    },
    "LGS2": {
      "fragments": 29433336,
      "insertions": 58866672,
      "bigwig": "data/intermediate/training/LGS2.insertions.bw"
    },
    "LGS3": {
      "fragments": 20491363,
      "insertions": 40982726,
      "bigwig": "data/intermediate/training/LGS3.insertions.bw"
    },
    "LVG1": {
      "fragments": 16317594,
      "insertions": 32635188,
      "bigwig": "data/intermediate/training/LVG1.insertions.bw"
    }
  },
  "pooled_insertions": 171959170,
  "pooled_fragments": 85979585,
  "pooled_bigwig": "data/intermediate/training/muller.insertions.bw",
  "peak_input": "data/intermediate/training/muller.insertions.bed.gz",
  "pipeline_fragment_input": "data/intermediate/training/muller.original_fragments.tsv.gz",
  "fragment_input_coordinate_convention": "Unmodified Cell Ranger fragment endpoints; upstream pipeline must detect shift. BigWigs are already corrected.",
  "plus_endpoint_delta": 0,
  "minus_endpoint_delta": 0,
  "weighting": "One molecule per row, two insertions per molecule; no read-support weighting or cross-cell deduplication."
}
